LB_RATING_ID,DATA_TYPE,STATEMENT_TYPE,FITCH_ID,DATE_BALANCE,CURRENT_FINANCIAL_DATA_ID,CURRENCY_ISO,BALANCE_UNIT,CONSOL_DEGREE,ACC_METHOD,TOTAL_ASSETS,TOTAL_ASSETS_PREV_YEAR,CURRENT_EQUITY,EQUITY_PREV_YEAR,ALLOC_CREDIT,PROV_CREDIT,GENERAL_ADMIN_EFFORT,NET_INTEREST_YIELD,OTHER_OPERATING_INCOME,ANNUAL_NET_PROFIT,FX_RATE_EUR_LBR,FX_RATE_EUR_LBR_DATE,FX_RATE_EUR_ANALYST,CUSTOMER_DEPOSITS,TOTAL_ASSETS_2YEARS_AGO,DEACTIVATE_LTD,COM_DEACTIVATE_LTD,NET_PROFIT_PREV,NET_PROFIT_2_AGO,CPI,BALANCE_SHEET_MODIFIED,INCOME_STATEMENT_MODIFIED,PD_RATING_ID,COMPANY_ID,RATING_STATUS,RATING_PROVIDING_SYSTEM,PD_MODEL_VERSION,STAND_ALONE_RATING_PD,STAND_ALONE_RATING_UCR,COUNTRY_RISK_ADJUSTED_PD,COUNTRY_RISK_ADJUSTED_UCR,GROUP_SUPPORT_ADJUSTED_PD,GROUP_SUPPORT_ADJUSTED_UCR,L1_OVERRIDE_PD,L1_OVERRIDE_UCR,PROPOSED_PD,PROPOSED_UCR,L2_OVERRIDE_PD,L2_OVERRIDE_UCR,APPROVED_PD,APPROVED_UCR,PD_APPROVAL_DATE,PD_EXPIRY_DATE,FAIR_ID,LBCDB_ID,GBCDB_ID,HREKNR,RAPID_ID,T24_ID,DUNS,GRACE_ID,CS_ID,COUNTRY,PORTFOLIO,BUSINESSLINE,RATING_ID,PARENT_COMPANY_ID,PARENT_REVIEW_RATING_ALERT,SOVEREIGN_RATING_REVIEW_ALERT,FINANCIAL_FIG_OUTDATED_ALERT,PD_INCLUDING_CONSERVATISM,UCR_INCLUDING_CONSERVATISM,TYPE_OF_CONSERVATISM,MARGIN_OF_CONSERVATISM,PD_FLOORED,PROPOSER,APPROVER,LB_RATING_ID,LastPerformingModel
666100_101028,2,ORIGINAL_IMPORT,112134,2023-12-31T00:00:00Z,112134#10820624#C,GBP,Million,Fully consolidated,IFRS,205.17744274,218.84540618,7.35523716,7.56858286,15.98247598,0.06573354,1.31697724,0.4151592,0.81763298,-0.11301556,1.1532229698951142,2023-12-31T00:00:00Z,1.15322,9.10351868,234.11634542,0,null,-0.30445008,-0.56623102,124.1,0,0,2853796,68267908,ACTUAL,LBR,PBNDWW01,0.1,2-,null,null,null,null,0.1,2-,0.1,2-,null,null,0.1,2-,2024-06-26 16:34:15,2025-06-26 16:34:15,54068267908,68267908,null,null,null,null,null,null,null,GB,null,null,2853796,205352545,YES,NO,NO,0.1334,2-,NO_CONSERVATISM,1.3335,N,null,null,666100_101028,PBNDWW01
666100_101158,2,ORIGINAL_IMPORT,105309,2023-12-31T00:00:00Z,105309#10818444#C,EUR,Million,Fully consolidated,IFRS,2591.499,2663.748,128.867,126.01,858.701,17.512,30.956,19.142,27.325,11.406,1,2023-12-31T00:00:00Z,1,987.26,2634.444,0,null,10.248,9.88,124.1,0,0,2863098,159728592,ACTUAL,LBR,PBNDWW01,0.03,1,null,null,0.03,1,0.03,1,0.03,1,null,null,0.03,1,2024-07-26 14:00:24,2025-07-26 14:00:24,540159728592,159728592,null,null,null,null,null,null,null,FR,null,null,2863098,null,NO,NO,NO,0.04,1,NO_CONSERVATISM,1.3335,N,null,null,666100_101158,PBNDWW01
666100_101792,2,ORIGINAL_IMPORT,112001,2024-12-31T00:00:00Z,112001#10992850#C,EUR,Million,Fully consolidated,IFRS,784.004,784.974,62.841,64.243,404.429,9.178,11.38,15.129,10.976,9.774,1,2024-12-31T00:00:00Z,1,477.365,857.773,0,null,9.534,6.473,127.1,0,0,2958223,134762738,ACTUAL,LBR,PBNDWW01,0.1,2-,0.16,3+,0.16,3+,0.16,3+,0.16,3+,null,null,0.16,3+,2025-05-21 17:45:51,2026-05-21 17:45:51,540134762738,134762738,null,null,null,null,null,null,null,IT,null,null,2958223,null,NO,NO,NO,0.2134,3+,NO_CONSERVATISM,1.3335,N,null,null,666100_101792,PBNDWW01
666100_101006,2,ORIGINAL_IMPORT,1008149,2023-12-31T00:00:00Z,1008149#10823688#C,MYR,Million,Fully consolidated,IFRS,19.202492608,18.76769099,2.428251982,2.298704722,9.144873194,0.16109606,0.366143542,0.329724396,0.419027218,0.283623712,0.19717565590481936,2023-12-31T00:00:00Z,0.19718,14.183689786,17.667801232,0,null,0.182450654,0.079424104,124.1,0,0,2853789,197553672,ACTUAL,LBR,PBNEWW01,0.05,2,null,null,null,null,0.05,2,0.1,2-,null,null,0.1,2-,2024-06-26 15:46:36,2025-06-26 15:46:36,540197553672,197553672,null,null,null,null,null,null,null,MY,null,null,2853789,205211585,YES,NO,NO,0.1298,2-,NO_CONSERVATISM,1.2979,N,null,null,666100_101006,PBNEWW01
666100_101570,2,ORIGINAL_IMPORT,111503,2024-09-30T00:00:00Z,111503#10963921#C,AUD,Million,Fully consolidated,IFRS,762.8837174,686.23207804,42.6614544,42.88109016,498.85361408,2.280117,6.61947436,9.94999628,2.7950822,4.1135172,0.6204436171862882,2024-09-30T00:00:00Z,0.62044,444.62839896,673.62970076,0,null,4.46282492,4.4175328,126.6,0,0,2932149,158319451,ACTUAL,LBR,PBNDWW01,0.03,1,0.03,1,0.03,1,0.03,1,0.03,1,null,null,0.03,1,2025-02-25 14:29:29,2026-02-25 14:29:29,540158319451,158319451,null,null,null,null,null,null,null,AU,null,null,2932149,2068256053,NO,NO,NO,0.04,1,NO_CONSERVATISM,1.3335,N,null,null,666100_101570,PBNDWW01
666100_101781,2,ORIGINAL_IMPORT,1009523,2024-12-31T00:00:00Z,1009523#11020604#C,EUR,Million,Fully consolidated,IFRS,49.2859,47.8384,5.9649,5.8055,25.4647,0.6349,1.2287,0.6051,1.2929,0.4367,1,2024-12-31T00:00:00Z,1,14.6196,49.3222,0,null,0.6083,0.3388,127.1,0,0,2960990,134616219,ACTUAL,LBR,PBNDWW01,0.05,2,0.05,2,0.05,2,0.05,2,0.05,2,null,null,0.05,2,2025-05-28 13:42:19,2026-05-28 13:42:19,540134616219,134616219,null,null,null,null,null,null,null,AT,null,null,2960990,null,NO,NO,NO,0.0667,2,NO_CONSERVATISM,1.3335,N,null,null,666100_101781,PBNDWW01
666100_101183,2,ORIGINAL_IMPORT,108297,2023-12-31T00:00:00Z,108297#10840725#C,EUR,Million,Fully consolidated,IFRS,472.509,428.821,19.626,19.58,70.829,1.185,5.585,1.435,5.978,1.051,1,2023-12-31T00:00:00Z,1,38.535,568.594,0,null,1.857,1.509,124.1,0,0,2863101,134450191,ACTUAL,LBR,PBNDWW01,0.04,2+,null,null,0.04,2+,0.04,2+,0.05,2,null,null,0.05,2,2024-07-26 14:29:13,2025-07-26 14:29:13,540134450191,134450191,null,null,null,null,null,null,null,FR,null,null,2863101,135326532,NO,NO,NO,0.0667,2,NO_CONSERVATISM,1.3335,N,null,null,666100_101183,PBNDWW01
666100_101181,2,ORIGINAL_IMPORT,112238,2023-12-31T00:00:00Z,112238#10831821#U,EUR,Million,Not consolidated,National accounting law,60.2503,60.4589,2.0926,2.0937,33.2284,0.0281,0.0679,0.2195,0.0103,0.1188,1,2023-12-31T00:00:00Z,1,0.0002,63.9349,0,null,0.1199,0.106,124.1,0,0,2881667,193658461,ACTUAL,LBR,PBNDWW01,0.05,2,null,null,0.05,2,0.05,2,0.05,2,null,null,0.05,2,2024-09-26 11:27:41,2025-09-26 11:27:41,540193658461,193658461,null,null,null,null,null,null,null,FR,null,null,2881667,135326532,NO,NO,NO,0.0667,2,NO_CONSERVATISM,1.3335,N,null,null,666100_101181,PBNDWW01
666100_101451,2,ORIGINAL_IMPORT,112127,2023-12-31T00:00:00Z,112127#10816912#C,KRW,Million,Fully consolidated,IFRS,320.61197,310.3387,18.69245,18.03004,224.763,1.4021,3.48572,5.38279,1.04783,1.76057,0.000699921047156078,2023-12-31T00:00:00Z,0.0007,247.69598,291.18362,0,null,2.03238,1.66957,124.1,0,0,2913840,193363259,ACTUAL,LBR,PBNDWW01,0.04,2+,0.04,2+,0.04,2+,0.04,2+,0.05,2,null,null,0.05,2,2024-12-23 14:55:39,2025-12-23 14:55:39,540193363259,193363259,null,null,null,null,null,null,null,KR,null,null,2913840,null,NO,NO,NO,0.0667,2,NO_CONSERVATISM,1.3335,N,null,null,666100_101451,PBNDWW01
666100_101703,2,ORIGINAL_IMPORT,13097,2024-12-31T00:00:00Z,13097#10993823#C,EUR,Million,Fully consolidated,IFRS,30.194,28.188,2.043,2.001,3.134,0.008,0.177,0.12,0.181,0.159,1,2024-12-31T00:00:00Z,1,6.259,26.436,0,null,0.108,0.053,127.1,0,0,2942872,134677374,ACTUAL,LBR,PBNDWW01,0.03,1,null,null,0.03,1,0.03,1,0.1,2-,null,null,0.1,2-,2025-03-31 15:53:45,2026-03-31 15:53:45,540134677374,134677374,null,null,null,null,null,null,null,NL,null,null,2942872,205352545,NO,NO,NO,0.1334,2-,NO_CONSERVATISM,1.3335,N,null,null,666100_101703,PBNDWW01
666100_101176,2,ORIGINAL_IMPORT,1137650,2023-12-31T00:00:00Z,1137650#10821101#U,EUR,Million,Not consolidated,National accounting law,115.2131,122.1074,2.479,2.4033,12.3732,0.0067,0.7757,0.4821,0.7048,0.2957,1,2023-12-31T00:00:00Z,1,77.1892,118.5782,0,null,0.225,0.1463,124.1,0,0,2872664,134552067,ACTUAL,LBR,PBNDWW01,0.03,1,null,null,0.03,1,0.03,1,0.03,1,null,null,0.03,1,2024-08-29 16:01:27,2025-08-29 16:01:27,540134552067,134552067,null,null,null,null,null,null,null,LU,null,null,2872664,158914430,NO,NO,NO,0.04,1,NO_CONSERVATISM,1.3335,N,null,null,666100_101176,PBNDWW01
666100_101207,2,ORIGINAL_IMPORT,1002920,2023-12-31T00:00:00Z,1002920#10839654#C,EUR,Million,Fully consolidated,IFRS,100.3672,101.6092,37.0443,34.2976,55.4686,1.2601,1.0511,1.6374,0.8517,1.1142,1,2023-12-31T00:00:00Z,1,1.9964,100.8481,0,null,1.5031,1.8287,124.1,0,0,2872685,2029035750,ACTUAL,LBR,PBNDWW01,0.05,2,0.03,1,0.05,2,0.05,2,0.03,1,null,null,0.03,1,2024-08-28 16:52:20,2025-08-28 16:52:20,5402029035750,2029035750,null,null,null,null,null,null,null,FR,null,null,2872685,null,NO,NO,NO,0.04,1,NO_CONSERVATISM,1.3335,N,null,null,666100_101207,PBNDWW01
666100_101365,2,ORIGINAL_IMPORT,1006201,2024-03-31T00:00:00Z,1006201#10906036#U,JPY,Million,Not consolidated,National accounting law,75.429,99.109116,0.736236,0.735012,0.059976,null,0.321912,-0.005508,0.341496,0.001836,0.00612332374012614,2024-03-31T00:00:00Z,0.00612,16.427304,105.558984,0,null,0.002448,0.003672,125.3,0,0,2901368,209238933,ACTUAL,LBR,PBNDWW01,0.1,2-,0.05,2,0.1,2-,0.1,2-,0.05,2,null,null,0.05,2,2024-11-22 09:27:46,2025-11-22 09:27:46,540209238933,209238933,null,null,null,null,null,null,null,JP,null,null,2901368,null,NO,NO,NO,0.0667,2,NO_CONSERVATISM,1.3335,N,null,null,666100_101365,PBNDWW01
666100_101699,2,ORIGINAL_IMPORT,1479987,2024-12-31T00:00:00Z,1479987#11010451#C,GBP,Million,Fully consolidated,IFRS,114.6169582,109.01113995,4.62102865,4.6777506,22.23379755,0.0096548,0.60221815,0.2003371,0.9872033,0.4875674,1.2068476535864494,2024-12-31T00:00:00Z,1.20685,37.34597325,104.58441415,0,null,0.4079153,0.458603,127.1,0,0,2942869,2021326608,ACTUAL,LBR,PBNDWW01,0.03,1,null,null,0.03,1,0.03,1,0.05,2,null,null,0.05,2,2025-03-31 15:57:31,2026-03-31 15:57:31,5402021326608,2021326608,null,null,null,null,null,null,null,GB,null,null,2942869,2032541831,NO,NO,NO,0.0667,2,NO_CONSERVATISM,1.3335,N,null,null,666100_101699,PBNDWW01
666100_101288,2,ORIGINAL_IMPORT,107695,2023-12-31T00:00:00Z,107695#10844368#C,CNY,Million,Fully consolidated,IFRS,4904.42798322,4427.85298667,405.93030978,368.07294468,2953.97975469,99.58919731,28.52220954,79.71827165,17.27940519,42.5449062,0.12797297210829073,2023-12-31T00:00:00Z,0.12797,3538.88378767,3871.60169263,0,null,41.57271811,38.89366616,124.1,0,0,2891977,193461013,ACTUAL,LBR,PBNEWW01,0.05,2,0.05,2,0.05,2,0.05,2,0.05,2,null,null,0.05,2,2024-10-28 15:22:58,2025-10-28 15:22:58,540193461013,193461013,null,null,null,null,null,null,null,CN,null,null,2891977,null,NO,NO,NO,0.0649,2,NO_CONSERVATISM,1.2979,N,null,null,666100_101288,PBNEWW01
666100_101455,2,ORIGINAL_IMPORT,111779,2023-12-31T00:00:00Z,111779#10837327#C,TWD,Million,Fully consolidated,IFRS,178.66807635,163.62346215,11.2677696,10.6677864,105.41344905,1.70441445,2.2459773,2.45309325,1.6364199,1.26435585,0.029553477978890838,2023-12-31T00:00:00Z,0.02955,147.7524231,144.1493916,0,null,1.13705445,0.87435495,124.1,0,0,2913374,158937643,ACTUAL,LBR,PBNDWW01,0.05,2,0.05,2,0.05,2,0.05,2,0.05,2,null,null,0.05,2,2024-12-20 13:33:39,2025-12-20 13:33:39,540158937643,158937643,null,null,null,null,null,null,null,TW,null,null,2913374,null,NO,NO,NO,0.0667,2,NO_CONSERVATISM,1.3335,N,null,null,666100_101455,PBNDWW01
666100_101300,2,ORIGINAL_IMPORT,112031,2023-12-31T00:00:00Z,112031#10855932#C,CNY,Million,Fully consolidated,National accounting law,544.48240502,499.10437099,41.17588314,41.37551634,288.77659012,7.88128839,3.93264607,9.01446274,2.90824622,3.43535465,0.12797297210829073,2023-12-31T00:00:00Z,0.12797,277.16779157,470.45444739,0,null,3.2619553,3.05886691,124.1,0,0,2891989,194622754,ACTUAL,LBR,PBNEWW01,0.25,3,0.36,3-,0.36,3-,0.36,3-,0.36,3-,null,null,0.36,3-,2024-10-28 16:49:39,2025-10-28 16:49:39,540194622754,194622754,null,null,null,null,null,null,null,CN,null,null,2891989,null,NO,NO,NO,0.4672,3-,NO_CONSERVATISM,1.2979,N,null,null,666100_101300,PBNEWW01
666100_101347,2,ORIGINAL_IMPORT,1005774,2024-03-31T00:00:00Z,1005774#10908230#C,JPY,Million,Fully consolidated,National accounting law,39.32315424,38.13060492,1.46130912,1.52044056,29.54106252,0.06380712,0.25467156,0.27401076,0.06850728,0.06627348,0.00612332374012614,2024-03-31T00:00:00Z,0.00612,34.71193008,43.02679464,0,null,0.06082056,0.06991488,125.3,0,0,2901353,2018648381,ACTUAL,LBR,PBNDWW01,0.05,2,null,null,0.05,2,0.05,2,0.1,2-,null,null,0.1,2-,2024-11-22 09:23:50,2025-11-22 09:23:50,5402018648381,2018648381,null,null,null,null,null,null,null,JP,null,null,2901353,null,NO,NO,NO,0.1334,2-,NO_CONSERVATISM,1.3335,N,null,null,666100_101347,PBNDWW01
666100_101654,2,ORIGINAL_IMPORT,115018,2023-12-31T00:00:00Z,115018#10838529#U,EUR,Million,Not consolidated,IFRS,13.8874,13.3217,1.2168,1.0021,6.9783,0.0403,0.1827,0.4469,0.1102,0.2991,1,2023-12-31T00:00:00Z,1,11.624,11.0677,0,null,0.1723,0.1158,124.1,0,0,2942864,134689380,ACTUAL,LBR,PBNDWW01,0.1,2-,0.1,2-,0.1,2-,0.1,2-,0.05,2,null,null,0.05,2,2025-03-30 13:59:37,2026-03-30 13:59:37,540134689380,134689380,null,null,null,null,null,null,null,LT,null,null,2942864,159728568,NO,NO,NO,0.0667,2,NO_CONSERVATISM,1.3335,N,null,null,666100_101654,PBNDWW01
666100_101754,2,ORIGINAL_IMPORT,111513,2024-12-31T00:00:00Z,111513#10967478#C,EUR,Million,Fully consolidated,IFRS,106.284,99.294,10.889,9.8258,53.522,1.863,1.231,2.784,0.7688,1.8101,1,2024-12-31T00:00:00Z,1,86.765,102.503,0,null,1.3669,0.9231,127.1,0,0,2958207,134544420,ACTUAL,LBR,PBNDWW01,0.16,3+,0.16,3+,0.16,3+,0.16,3+,0.16,3+,null,null,0.16,3+,2025-05-21 10:42:51,2026-05-21 10:42:51,540134544420,134544420,null,null,null,null,null,null,null,PT,null,null,2958207,null,NO,NO,NO,0.2134,3+,NO_CONSERVATISM,1.3335,N,null,null,666100_101754,PBNDWW01
666100_101772,2,MODIFIED,113240,2024-12-31T00:00:00Z,113240#10989882#C,MXN,Million,Fully consolidated,IFRS,177.3478992,154.760704,20.037144,18.4007088,87.5687248,2.809288,4.3248048,11.1397584,2.5961264,4.9843808,0.04639764077276198,2024-12-31T00:00:00Z,0.0464,84.7473264,143.2816688,0,null,4.6514144,3.936576,127.1,1,1,2958793,193286505,ACTUAL,LBR,PBNEWW01,0.04,2+,0.04,2+,0.04,2+,0.04,2+,0.36,3-,null,null,0.36,3-,2025-05-22 10:59:35,2026-05-22 10:59:35,540193286505,193286505,null,null,null,null,null,null,null,MX,null,null,2958793,134449002,NO,NO,NO,0.4672,3-,NO_CONSERVATISM,1.2979,N,null,null,666100_101772,PBNEWW01
666100_101380,2,ORIGINAL_IMPORT,111611,2023-12-31T00:00:00Z,111611#10814856#C,TRY,Million,Fully consolidated,National accounting law,58.36213711232,35.1530936752,6.47174118248,4.7064838568,29.07742033016,1.00442479232,1.46013905816,2.11279235296,2.49783313016,2.0374446404,0.03063921678808478,2023-12-31T00:00:00Z,0.03064,38.4727003684,23.3721408312,0,null,1.83918766248,0.37157713224,124.1,0,0,2897690,194567575,ACTUAL,LBR,PBNEWW01,0.6,4+,0.6,4+,0.6,4+,0.6,4+,3,5+,null,null,3,5+,2024-11-13 15:17:52,2025-11-13 15:17:52,540194567575,194567575,null,null,null,null,null,null,null,TR,null,null,2897690,null,NO,NO,NO,3.8937,5+,NO_CONSERVATISM,1.2979,N,null,null,666100_101380,PBNEWW01
