DeliveryEntity,ReportingDate,CounterpartyID,CounterpartySourceSystemIdentifier,GlobalCounterpartyIdentifier,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,IntercompanyFlag,BaselCreditRiskApproach,ExemptionConditionId,ExemptionId,ExemptionName,ExemptionType,DeliveryEntity,ReportingDate,CounterpartyID,CounterpartySourceSystemIdentifier,GlobalCounterpartyIdentifier,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,IntercompanyFlag,BaselCreditRiskApproach,ExemptionConditionIdRC,ExemptionIdRC,ExemptionNameRC,ExemptionTypeRC
FBS,2025-05-31,BCA106663410,AAB.SYS.1861,000138024014,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA106663410,AAB.SYS.1861,000138024014,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA107276135,AAB.SYS.1861,000137203659,null,AA_NONE,null,null,FIRB,1517,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA107276135,AAB.SYS.1861,000137203659,null,AA_NONE,null,null,FIRB,1517.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA107281384,AAB.SYS.1861,000146050630,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA107281384,AAB.SYS.1861,000146050630,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA107335239,AAB.SYS.1861,000137537786,null,AA_NONE,null,null,FIRB,1517,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA107335239,AAB.SYS.1861,000137537786,null,AA_NONE,null,null,FIRB,1517.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA107339102,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107339102,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107341344,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107341344,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107342251,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107342251,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107342413,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107342413,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107343541,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107343541,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107343568,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107343568,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107344017,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107344017,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107344076,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107344076,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107344246,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107344246,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107344351,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107344351,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107344378,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107344378,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107387379,AAB.SYS.1861,000245744657,LC_ABOVE_500MLN,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107387379,AAB.SYS.1861,000245744657,LC_ABOVE_500MLN,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107387395,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107387395,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107473437,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107473437,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107473615,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107473615,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107475235,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107475235,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107475316,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107475316,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA107475375,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA107475375,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA108499359,AAB.SYS.1861,000146201515,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA108499359,AAB.SYS.1861,000146201515,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA108670481,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA108670481,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA109425944,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA109425944,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA110061497,AAB.SYS.1861,000139748369,null,AA_NONE,null,null,FIRB,1525,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA110061497,AAB.SYS.1861,000139748369,null,AA_NONE,null,null,FIRB,1525.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA112449980,AAB.SYS.1861,000245588531,null,PBNDWW01,PBNDWW01,null,FIRB,1145,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,BCA112449980,AAB.SYS.1861,000245588531,null,PBNDWW01,PBNDWW01,null,FIRB,1145.0,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,BCA112581196,AAB.SYS.1861,000137248415,null,AA_NONE,null,null,FIRB,1517,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA112581196,AAB.SYS.1861,000137248415,null,AA_NONE,null,null,FIRB,1517.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA112822053,AAB.SYS.1861,000142864668,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA112822053,AAB.SYS.1861,000142864668,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA11284692,AAB.SYS.1861,000356687953,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA11284692,AAB.SYS.1861,000356687953,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA112885209,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA112885209,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA112885489,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA112885489,AAB.SYS.1861,null,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA112938175,AAB.SYS.1861,000138118833,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA112938175,AAB.SYS.1861,000138118833,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA113047797,AAB.SYS.1861,000140543481,null,PGSSWW06,PGSSWW06,null,SA,701,NPL_PPU_OTHER_SOV_Model,PPU3_Other Sov Exposures ,P,FBS,2025-05-31,BCA113047797,AAB.SYS.1861,000140543481,null,PGSSWW06,PGSSWW06,null,SA,701.0,NPL_PPU_OTHER_SOV_Model,PPU3_Other Sov Exposures ,T
FBS,2025-05-31,BCA113102682,AAB.SYS.1861,000139172874,null,PGCRWW03,PGCRWW03,null,FIRB,1517,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA113102682,AAB.SYS.1861,000139172874,null,PGCRWW03,PGCRWW03,null,FIRB,1517.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA114878021,AAB.SYS.1861,000138001537,null,AA_NONE,null,null,FIRB,1515,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA114878021,AAB.SYS.1861,000138001537,null,AA_NONE,null,null,FIRB,1515.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA115116117,AAB.SYS.1861,000137621590,LC_ABOVE_500MLN,AA_NONE,null,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA115116117,AAB.SYS.1861,000137621590,LC_ABOVE_500MLN,AA_NONE,null,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA115283560,AAB.SYS.1861,000140190139,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1561,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA115283560,AAB.SYS.1861,000140190139,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1561.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA115388060,AAB.SYS.1861,000144696843,LC_ABOVE_500MLN,PINCWW05,PINCWW05,null,FIRB,1233,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,BCA115388060,AAB.SYS.1861,000144696843,LC_ABOVE_500MLN,PINCWW05,PINCWW05,null,FIRB,1233.0,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,BCA115587330,AAB.SYS.1861,000141598085,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA115587330,AAB.SYS.1861,000141598085,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA115591257,AAB.SYS.1861,000136740499,null,PGSSWW06,PGSSWW06,null,SA,701,NPL_PPU_OTHER_SOV_Model,PPU3_Other Sov Exposures ,P,FBS,2025-05-31,BCA115591257,AAB.SYS.1861,000136740499,null,PGSSWW06,PGSSWW06,null,SA,701.0,NPL_PPU_OTHER_SOV_Model,PPU3_Other Sov Exposures ,T
FBS,2025-05-31,BCA115880593,AAB.SYS.1861,000142308293,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA115880593,AAB.SYS.1861,000142308293,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA116625376,AAB.SYS.1861,000142444081,null,AA_NONE,null,null,FIRB,1514,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA116625376,AAB.SYS.1861,000142444081,null,AA_NONE,null,null,FIRB,1514.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA117288446,AAB.SYS.1861,000144696061,null,PINNWW05,PINNWW05,null,FIRB,1362,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,BCA117288446,AAB.SYS.1861,000144696061,null,PINNWW05,PINNWW05,null,FIRB,1362.0,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,BCA117577693,AAB.SYS.1861,000372020771,null,PICOWW01,PICOWW01,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA117577693,AAB.SYS.1861,000372020771,null,PICOWW01,PICOWW01,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA119126060,AAB.SYS.1861,000139488634,null,AA_NONE,null,null,FIRB,1517,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA119126060,AAB.SYS.1861,000139488634,null,AA_NONE,null,null,FIRB,1517.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA11919205,AAB.SYS.1861,000141327103,LC_ABOVE_500MLN,PGCRWW03,PGCRWW03,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA11919205,AAB.SYS.1861,000141327103,LC_ABOVE_500MLN,PGCRWW03,PGCRWW03,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA119265044,AAB.SYS.1861,000347461484,LC_ABOVE_500MLN,PGCRWW03,PGCRWW03,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA119265044,AAB.SYS.1861,000347461484,LC_ABOVE_500MLN,PGCRWW03,PGCRWW03,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA119604663,AAB.SYS.1861,000141378859,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA119604663,AAB.SYS.1861,000141378859,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA119978628,AAB.SYS.1861,000136573398,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA119978628,AAB.SYS.1861,000136573398,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA120025051,AAB.SYS.1861,000142984647,null,AA_NONE,null,null,FIRB,1515,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA120025051,AAB.SYS.1861,000142984647,null,AA_NONE,null,null,FIRB,1515.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA120036428,AAB.SYS.1861,000245744657,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA120036428,AAB.SYS.1861,000245744657,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA120036525,AAB.SYS.1861,000245744657,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA120036525,AAB.SYS.1861,000245744657,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA120374323,AAB.SYS.1861,000141614005,LC_ABOVE_500MLN,PGCRWW03,PGCRWW03,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA120374323,AAB.SYS.1861,000141614005,LC_ABOVE_500MLN,PGCRWW03,PGCRWW03,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA120376113,AAB.SYS.1861,000139251596,LC_ABOVE_500MLN,AA_NONE,null,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA120376113,AAB.SYS.1861,000139251596,LC_ABOVE_500MLN,AA_NONE,null,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA121242366,AAB.SYS.1861,000142906700,null,AA_NONE,null,null,FIRB,1515,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA121242366,AAB.SYS.1861,000142906700,null,AA_NONE,null,null,FIRB,1515.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA121406296,AAB.SYS.1861,000142433063,null,AA_NONE,null,null,FIRB,1514,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA121406296,AAB.SYS.1861,000142433063,null,AA_NONE,null,null,FIRB,1514.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA121605175,AAB.SYS.1861,000137486243,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA121605175,AAB.SYS.1861,000137486243,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA123362326,AAB.SYS.1861,000633773689,null,AA_NONE,null,null,FIRB,1514,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA123362326,AAB.SYS.1861,000633773689,null,AA_NONE,null,null,FIRB,1514.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA123407850,AAB.SYS.1861,000144917874,null,PLCRWW04,PLCRWW04,N,FIRB,1517,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA123407850,AAB.SYS.1861,000144917874,null,PLCRWW04,PLCRWW04,N,FIRB,1517.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA125104189,AAB.SYS.1861,000356020835,LC_ABOVE_500MLN,AA_NONE,null,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA125104189,AAB.SYS.1861,000356020835,LC_ABOVE_500MLN,AA_NONE,null,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA125113013,AAB.SYS.1861,000136450350,null,AA_NONE,null,null,FIRB,1517,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA125113013,AAB.SYS.1861,000136450350,null,AA_NONE,null,null,FIRB,1517.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA126731004,AAB.SYS.1861,000141550651,null,PMBOWW03,PMBOWW03,null,SA,354,MBO/MBI,Mangement Buy out / Buy In deal,P,FBS,2025-05-31,BCA126731004,AAB.SYS.1861,000141550651,null,PMBOWW03,PMBOWW03,null,SA,354.0,MBO/MBI,Mangement Buy out / Buy In deal,T
FBS,2025-05-31,BCA12682357,AAB.SYS.1861,000354247662,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,P,FBS,2025-05-31,BCA12682357,AAB.SYS.1861,000354247662,LC_ABOVE_500MLN,PLCRWW04,PLCRWW04,null,FIRB,1560.0,LC_above_500mln_ECIRB,PPU4_Large Corporates above 500 mln,T
FBS,2025-05-31,BCA128159383,AAB.SYS.1861,000245542809,null,PBNEWW01,PBNEWW01,null,FIRB,1170,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,BCA128159383,AAB.SYS.1861,000245542809,null,PBNEWW01,PBNEWW01,null,FIRB,1170.0,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,BCA128444185,AAB.SYS.1861,000634095420,null,PICOWW01,null,Y,SA,100,ICO,Intercompany,P,FBS,2025-05-31,BCA128444185,AAB.SYS.1861,000634095420,null,PICOWW01,null,Y,SA,100.0,ICO,Intercompany,T
FBS,2025-05-31,BCA128731133,AAB.SYS.1861,000137526768,null,AA_NONE,null,null,FIRB,1517,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA128731133,AAB.SYS.1861,000137526768,null,AA_NONE,null,null,FIRB,1517.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA128929316,AAB.SYS.1861,000139698922,null,PDFTWW01,PDFTWW01,null,FIRB,1515,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA128929316,AAB.SYS.1861,000139698922,null,PDFTWW01,PDFTWW01,null,FIRB,1515.0,Article_151_8,Article_151_8,T
FBS,2025-05-31,BCA129033146,AAB.SYS.1861,000136833659,null,AA_NONE,null,null,FIRB,1517,Article_151_8,Article_151_8,P,FBS,2025-05-31,BCA129033146,AAB.SYS.1861,000136833659,null,AA_NONE,null,null,FIRB,1517.0,Article_151_8,Article_151_8,T
