XPK_COUNTERPARTY,FK_DATA,OWNERSHIP,COI,UNIT,SOURCE_SYSTEM,FULL_NAME,TOTAL_ASSETS,TOTAL_ASSETS_CURRENCY,TOTAL_TURNOVER,TOTAL_TURNOVER_CURRENCY
2881663,2881663,AAB,null,null,FAIR,null,6.893703171E9,EUR,3.15500639E8,EUR
2872659,2872659,AAB,null,null,FAIR,null,6.32672E10,EUR,1.8469E9,EUR
2881665,2881665,AAB,null,null,FAIR,null,1.2049E10,EUR,6.027E8,EUR
2872660,2872660,AAB,null,null,FAIR,null,3.7388E11,EUR,1.0862E10,EUR
2881666,2881666,AAB,null,null,FAIR,null,1.291758323088E10,EUR,1.07791875424E9,EUR
2863099,2863099,AAB,null,null,FAIR,null,2.189398E12,EUR,2.5173E10,EUR
2872661,2872661,AAB,null,null,FAIR,null,1.8322888118E10,EUR,4.20097124E8,EUR
2872662,2872662,AAB,null,null,FAIR,null,7.57367E11,EUR,7.318E9,EUR
2872663,2872663,AAB,null,null,FAIR,null,2.22179E11,EUR,3.764E9,EUR
2860881,2860881,AAB,null,null,FAIR,null,2.305E10,EUR,4.93E8,EUR
2885072,2885072,AAB,null,null,FAIR,null,1.64581E10,EUR,2.199E8,EUR
2872664,2872664,AAB,null,null,FAIR,null,1.152131E11,EUR,1.1869E9,EUR
2862845,2862845,AAB,null,null,FAIR,null,1.42834E10,EUR,4.3E8,EUR
2872665,2872665,AAB,null,null,FAIR,null,8.1299E9,EUR,5.791E8,EUR
2872666,2872666,AAB,null,null,FAIR,null,2.6938E9,EUR,1.329E8,EUR
2863100,2863100,AAB,null,null,FAIR,null,9.03573E11,EUR,1.0598E10,EUR
2881667,2881667,AAB,null,null,FAIR,null,6.02503E10,EUR,2.298E8,EUR
2863101,2863101,AAB,null,null,FAIR,null,4.72509E11,EUR,7.413E9,EUR
2872667,2872667,AAB,null,null,FAIR,null,1.108289E11,EUR,1.3673E9,EUR
2872668,2872668,AAB,null,null,FAIR,null,1.28006464E9,EUR,6.601168E7,EUR
2872669,2872669,AAB,null,null,FAIR,null,7.1308E10,EUR,2.59E8,EUR
2872670,2872670,AAB,null,null,FAIR,null,4.5795018E10,EUR,1.5897E7,EUR
2863102,2863102,AAB,null,null,FAIR,null,1.554045E12,EUR,2.4445E10,EUR
2872671,2872671,AAB,null,null,FAIR,null,1.1018229815E10,EUR,5.16074599E8,EUR
2872672,2872672,AAB,null,null,FAIR,null,1.686035692E10,EUR,7.69372296E8,EUR
2872673,2872673,AAB,null,null,FAIR,null,6.63636E10,EUR,9.697E8,EUR
2872674,2872674,AAB,null,null,FAIR,null,2.99556456E9,EUR,1.5883304E8,EUR
2872675,2872675,AAB,null,null,FAIR,null,6.139506798E10,EUR,1.47905921E9,EUR
2872676,2872676,AAB,null,null,FAIR,null,4.70621E10,EUR,1.157E8,EUR
2881669,2881669,AAB,null,null,FAIR,null,5.224201922E9,EUR,1.9258774E8,EUR
2863103,2863103,AAB,null,null,FAIR,null,7.19492E11,EUR,1.1859E10,EUR
2872677,2872677,AAB,null,null,FAIR,null,4.11961E11,EUR,6.578E9,EUR
2872679,2872679,AAB,null,null,FAIR,null,3.49879E10,EUR,1.28E7,EUR
2872680,2872680,AAB,null,null,FAIR,null,4.03364E9,EUR,1798000.0,EUR
2872681,2872681,AAB,null,null,FAIR,null,3.92301E10,EUR,2.31E7,EUR
2872683,2872683,AAB,null,null,FAIR,null,1.62441E10,EUR,1.4E7,EUR
2872684,2872684,AAB,null,null,FAIR,null,6.0041E10,EUR,7.8E7,EUR
2872685,2872685,AAB,null,null,FAIR,null,1.003672E11,EUR,2.4891E9,EUR
2872686,2872686,AAB,null,null,FAIR,null,8.5218E9,EUR,1.269E8,EUR
2872687,2872687,AAB,null,null,FAIR,null,2.706463E9,EUR,1.5032E7,EUR
2865738,2865738,AAB,null,null,FAIR,null,6.0411070853E10,EUR,2.703412469E9,EUR
2872688,2872688,AAB,null,null,FAIR,null,3.109938975E9,EUR,2.8097897E8,EUR
2863618,2863618,AAB,null,null,FAIR,null,8.383759848E10,EUR,2.65983972E9,EUR
2863619,2863619,AAB,null,null,FAIR,null,1.577879131E10,EUR,5.3047471E8,EUR
2864059,2864059,AAB,null,null,FAIR,null,1.6494670818E11,EUR,5.00126706E9,EUR
2872689,2872689,AAB,null,null,FAIR,null,3.42571150964E9,EUR,1.0010872176E8,EUR
2864466,2864466,AAB,null,null,FAIR,null,2.4453228069E10,EUR,1.643221722E9,EUR
2881670,2881670,AAB,null,null,FAIR,null,5.3988E10,EUR,1.029E9,EUR
2872690,2872690,AAB,null,null,FAIR,null,1.0720839984E10,EUR,7.19489568E8,EUR
2872691,2872691,AAB,null,null,FAIR,null,6.9648E10,EUR,1.78E8,EUR
2872692,2872692,AAB,null,null,FAIR,null,6.4973E10,EUR,1.83E8,EUR
2872693,2872693,AAB,null,null,FAIR,null,9.73850416E10,EUR,4.65730648E9,EUR
2872694,2872694,AAB,null,null,FAIR,null,7.580531504E10,EUR,3.24984904E9,EUR
2872695,2872695,AAB,null,null,FAIR,null,6.093713312E10,EUR,2.93475328E9,EUR
2872696,2872696,AAB,null,null,FAIR,null,2.99921715E9,EUR,3.0986631E8,EUR
2872697,2872697,AAB,null,null,FAIR,null,1.2760530888E10,EUR,3.65297166E8,EUR
2872698,2872698,AAB,null,null,FAIR,null,2.01634515E9,EUR,1.045332E8,EUR
2868174,2868174,AAB,null,null,FAIR,null,8.069604464E10,EUR,4.6887616E9,EUR
2868744,2868744,AAB,null,null,FAIR,null,1.21720555656E12,EUR,3.114202392E10,EUR
2872699,2872699,AAB,null,null,FAIR,null,1.3622365198E10,EUR,2.40193922E8,EUR
2881671,2881671,AAB,null,null,FAIR,null,1.312331E12,EUR,2.8879E10,EUR
2882198,2882198,AAB,null,null,FAIR,null,3.07605205852E12,EUR,1.3337158012E11,EUR
2872700,2872700,AAB,null,null,FAIR,null,8.069604464E10,EUR,4.6887616E9,EUR
2901352,2901352,AAB,null,null,FAIR,null,2.2488889275E10,EUR,4.56813E8,EUR
2875753,2875753,AAB,null,null,FAIR,null,3.204752484E10,EUR,5.5886616E8,EUR
2881672,2881672,AAB,null,null,FAIR,null,7.4879620256E11,EUR,2.581238896E10,EUR
2881673,2881673,AAB,null,null,FAIR,null,1.84011467056E11,EUR,7.038963336E9,EUR
2881674,2881674,AAB,null,null,FAIR,null,1.77768318752E11,EUR,6.080575016E9,EUR
2881675,2881675,AAB,null,null,FAIR,null,1.70693961568E11,EUR,7.522636632E9,EUR
2881676,2881676,AAB,null,null,FAIR,null,1.55901945192E11,EUR,6.106065392E9,EUR
2881677,2881677,AAB,null,null,FAIR,null,1.0277997492E11,EUR,3.139868776E9,EUR
2881678,2881678,AAB,null,null,FAIR,null,4.48157601712E11,EUR,1.9498131592E10,EUR
2881679,2881679,AAB,null,null,FAIR,null,2.62883808936E11,EUR,1.2535443672E10,EUR
2881680,2881680,AAB,null,null,FAIR,null,2.041423549E9,EUR,7.9403621E7,EUR
2881681,2881681,AAB,null,null,FAIR,null,1.68828124536E11,EUR,8.5258986E9,EUR
2877838,2877838,AAB,null,null,FAIR,null,1.727075433616E10,EUR,7.5679155864E8,EUR
2877839,2877839,AAB,null,null,FAIR,null,1.55721E11,EUR,4.46E9,EUR
2885960,2885960,AAB,null,null,FAIR,null,1.70848E10,EUR,1.433E9,EUR
2879437,2879437,AAB,null,null,FAIR,null,1.36349E11,EUR,4.734E9,EUR
2879438,2879438,AAB,null,null,FAIR,null,1.149645018E10,EUR,5.1087646E8,EUR
2885073,2885073,AAB,null,null,FAIR,null,4.6833E10,EUR,1.223E9,EUR
2882199,2882199,AAB,null,null,FAIR,null,5.38415E10,EUR,8.29E8,EUR
2885961,2885961,AAB,null,null,FAIR,null,3.5584873115E10,EUR,1.567144485E9,EUR
2881683,2881683,AAB,null,null,FAIR,null,1.7446953186E10,EUR,4.77595989E8,EUR
2881684,2881684,AAB,null,null,FAIR,null,1.791794E11,EUR,3.1206E9,EUR
2881685,2881685,AAB,null,null,FAIR,null,1.615673E11,EUR,6.562E9,EUR
2881686,2881686,AAB,null,null,FAIR,null,8.5364565952E10,EUR,5.429937144E9,EUR
2904634,2904634,AAB,null,null,FAIR,null,1.59351E10,EUR,1.98E8,EUR
2883225,2883225,AAB,null,null,FAIR,null,4.7690895818E10,EUR,2.089461811E9,EUR
2891973,2891973,AAB,null,null,FAIR,null,4.1556E9,EUR,4.322E8,EUR
2883596,2883596,AAB,null,null,FAIR,null,1.916251E11,EUR,2.4248E9,EUR
2883597,2883597,AAB,null,null,FAIR,null,7.38151E11,EUR,7.281E9,EUR
2883598,2883598,AAB,null,null,FAIR,null,1.791794E11,EUR,3.1206E9,EUR
2883599,2883599,AAB,null,null,FAIR,null,3.05353E10,EUR,7.611E8,EUR
2891974,2891974,AAB,null,null,FAIR,null,5.71988519963E12,EUR,1.0359875335E11,EUR
2891975,2891975,AAB,null,null,FAIR,null,1.061780832E11,EUR,1.559483352E9,EUR
2891976,2891976,AAB,null,null,FAIR,null,3.460912573E8,EUR,6654904.53,EUR
2891977,2891977,AAB,null,null,FAIR,null,4.90442798322E12,EUR,9.699767684E10,EUR
2891978,2891978,AAB,null,null,FAIR,null,5.10254640233E12,EUR,8.810632124E10,EUR
2891979,2891979,AAB,null,null,FAIR,null,4.15034428302E12,EUR,7.773128146E10,EUR
2891980,2891980,AAB,null,null,FAIR,null,4.2723220176E11,EUR,7.66915128E9,EUR
2891981,2891981,AAB,null,null,FAIR,null,1.79931860184E12,EUR,3.234979224E10,EUR
2891982,2891982,AAB,null,null,FAIR,null,1.41131496951E12,EUR,4.339181166E10,EUR
2891983,2891983,AAB,null,null,FAIR,null,1.29996097822E12,EUR,2.697748367E10,EUR
2891984,2891984,AAB,null,null,FAIR,null,1.15844637748E12,EUR,2.640085085E10,EUR
2891985,2891985,AAB,null,null,FAIR,null,9.8216527105E11,EUR,1.758192627E10,EUR
2891986,2891986,AAB,null,null,FAIR,null,8.6671470412E11,EUR,1.860351078E10,EUR
2891987,2891987,AAB,null,null,FAIR,null,8.1720822992E11,EUR,2.98272476E9,EUR
2891988,2891988,AAB,null,null,FAIR,null,7.1498323452E11,EUR,2.105810335E10,EUR
2891989,2891989,AAB,null,null,FAIR,null,5.4448240502E11,EUR,1.192270896E10,EUR
2891990,2891990,AAB,null,null,FAIR,null,4.7971845163E11,EUR,8.48082784E9,EUR
2891991,2891991,AAB,null,null,FAIR,null,4.49113479152E11,EUR,8.914159854E9,EUR
2895320,2895320,AAB,null,null,FAIR,null,1.1088123741E10,EUR,5.59843609E8,EUR
2888678,2888678,AAB,null,null,FAIR,null,1.3613125090054E11,EUR,6.05246909764E9,EUR
2888679,2888679,AAB,null,null,FAIR,null,2.797481076E9,EUR,9.3295498E7,EUR
2888680,2888680,AAB,null,null,FAIR,null,2.6567949276E11,EUR,1.056328718E10,EUR
2888681,2888681,AAB,null,null,FAIR,null,1.57035372888E12,EUR,6.956602764E10,EUR
2888682,2888682,AAB,null,null,FAIR,null,3.0127792458E11,EUR,1.192141116E10,EUR
2888683,2888683,AAB,null,null,FAIR,null,3.96589E10,EUR,8.891E8,EUR
2888684,2888684,AAB,null,null,FAIR,null,4.7212883404E11,EUR,1.439937586E10,EUR
2888685,2888685,AAB,null,null,FAIR,null,8.5303E10,EUR,1.712E9,EUR
2888686,2888686,AAB,null,null,FAIR,null,1.8936361612E11,EUR,6.81145836E9,EUR
2888687,2888687,AAB,null,null,FAIR,null,3.07605205852E12,EUR,1.3337158012E11,EUR
2888688,2888688,AAB,null,null,FAIR,null,2.30139589832E12,EUR,7.57296817E10,EUR
2888689,2888689,AAB,null,null,FAIR,null,1.5263809542E12,EUR,5.71925125E10,EUR
2888690,2888690,AAB,null,null,FAIR,null,3.7736272224E10,EUR,8.34241464E8,EUR
2888691,2888691,AAB,null,null,FAIR,null,2.9921939219E10,EUR,1.313056746E9,EUR
2888692,2888692,AAB,null,null,FAIR,null,1.6891283875E10,EUR,1.037631275E9,EUR
2888693,2888693,AAB,null,null,FAIR,null,6.284540678E9,EUR,3.35915848E8,EUR
2888694,2888694,AAB,null,null,FAIR,null,1.2493925198E11,EUR,3.77900942E9,EUR
2888695,2888695,AAB,null,null,FAIR,null,2.686607E10,EUR,7.9688E8,EUR
2888696,2888696,AAB,null,null,FAIR,null,6.206520465E9,EUR,4.33764672E8,EUR
2888697,2888697,AAB,null,null,FAIR,null,6.878413238E10,EUR,2.7361804E9,EUR
2888698,2888698,AAB,null,null,FAIR,null,1.5263809542E12,EUR,5.71925125E10,EUR
2888236,2888236,AAB,null,null,FAIR,null,2.569886376E9,EUR,9.0052106E7,EUR
2890359,2890359,AAB,null,null,FAIR,null,4.935129465E9,EUR,1.9300379E8,EUR
2888699,2888699,AAB,null,null,FAIR,null,1.935419629152E11,EUR,1.70879766197E10,EUR
2898678,2898678,AAB,null,null,FAIR,null,1.0423840258E11,EUR,2.88996932E9,EUR
2911225,2911225,AAB,null,null,FAIR,null,2.79402E10,EUR,8.939E8,EUR
2890897,2890897,AAB,null,null,FAIR,null,2.6567949276E11,EUR,1.056328718E10,EUR
2914767,2914767,AAB,null,null,FAIR,null,1.52555E10,EUR,4.497E8,EUR
2893124,2893124,AAB,null,null,FAIR,null,2.6567949276E11,EUR,1.056328718E10,EUR
2893125,2893125,AAB,null,null,FAIR,null,5.0587710115E11,EUR,7.56699905E9,EUR
2901353,2901353,AAB,null,null,FAIR,null,3.932315424E10,EUR,3.4251804E8,EUR
2902143,2902143,AAB,null,null,FAIR,null,8.449376052E9,EUR,1.15895468E8,EUR
2901354,2901354,AAB,null,null,FAIR,null,1.3674952116E11,EUR,1.20475872E9,EUR
2901355,2901355,AAB,null,null,FAIR,null,9.752416452E10,EUR,9.811278E8,EUR
2901356,2901356,AAB,null,null,FAIR,null,9.041575392E10,EUR,6.1462548E8,EUR
2901357,2901357,AAB,null,null,FAIR,null,6.615480708E10,EUR,4.0193712E8,EUR
2901358,2901358,AAB,null,null,FAIR,null,7.7619042E10,EUR,5.4966168E8,EUR
2901359,2901359,AAB,null,null,FAIR,null,4.55870844E10,EUR,3.1463532E8,EUR
2901360,2901360,AAB,null,null,FAIR,null,4.14926208E10,EUR,3.2675292E8,EUR
2901361,2901361,AAB,null,null,FAIR,null,3.499730568E10,EUR,1.5594372E8,EUR
2900941,2900941,AAB,null,null,FAIR,null,3.678661943E10,EUR,1.742530804E9,EUR
2901362,2901362,AAB,null,null,FAIR,null,2.9159697372E10,EUR,2.86405652E8,EUR
2901363,2901363,AAB,null,null,FAIR,null,5.2442E9,EUR,1.259E8,EUR
2901366,2901366,AAB,null,null,FAIR,null,2.90148646706E9,EUR,1.486688218E8,EUR
2901367,2901367,AAB,null,null,FAIR,null,1.9171053E12,EUR,2.056626E10,EUR
2901368,2901368,AAB,null,null,FAIR,null,7.5429E10,EUR,3.35988E8,EUR
2901369,2901369,AAB,null,null,FAIR,null,4.58894124E11,EUR,4.441284E9,EUR
2901371,2901371,AAB,null,null,FAIR,null,1.500368184E12,EUR,1.3068648E10,EUR
2901372,2901372,AAB,null,null,FAIR,null,1.21104E10,EUR,4.15E8,EUR
2901373,2901373,AAB,null,null,FAIR,null,6.737810103E9,EUR,1.59692373E8,EUR
2901374,2901374,AAB,null,null,FAIR,null,2.52804348E11,EUR,3.634056E9,EUR
2897686,2897686,AAB,null,null,FAIR,null,1.3035573648688E11,EUR,6.31750328312E9,EUR
2897687,2897687,AAB,null,null,FAIR,null,9.053331237544E10,EUR,6.31679424288E9,EUR
2901375,2901375,AAB,null,null,FAIR,null,4.246611E9,EUR,6.4652E7,EUR
2901376,2901376,AAB,null,null,FAIR,null,5.9086152E11,EUR,-1.693404E9,EUR
2897688,2897688,AAB,null,null,FAIR,null,8.760730457912E10,EUR,3.27036946944E9,EUR
2897689,2897689,AAB,null,null,FAIR,null,5.683240410464E10,EUR,3.84940317832E9,EUR
2897690,2897690,AAB,null,null,FAIR,null,5.836213711232E10,EUR,4.61062548312E9,EUR
2901377,2901377,AAB,null,null,FAIR,null,1.4063255712E11,EUR,1.4763888E9,EUR
2895808,2895808,AAB,null,null,FAIR,null,1.36505870336E12,EUR,3.503142682E10,EUR
